gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0168,0.494,3.7897738669432908,1.658970109674998,-0.021502298554352005,-0.19506622989733385,-0.013246675650165147,-0.24302501822582506,0.0026416174203179993,0.0026416174203179993,36.976731014950296,1,0,0
0.0168,0.655,3.763894427943856,1.6261117527445255,-0.02054448715334089,-0.22652607300012745,-0.012329918666505109,-0.2963455787117143,0.003295219878857815,0.003295219878857815,42.373834314736335,1,0,0
0.0168,0.869,3.7342086459889505,1.5862786647482634,-0.01915935062802779,-0.28299383309814746,-0.01141534891437589,-0.35589237937689466,0.003588193536893002,0.003588193536893002,57.7393999011249,1,0,0
0.0168,1.15,3.69471473456095,1.5391115329409104,0.010950905695480313,-0.29508917756449593,-0.010122169423290323,-0.4117304492510209,-0.007495763971992903,0.007495763971992903,34.23306877046929,1,0,0
0.0168,1.53,3.661713599550313,1.4851281641267013,-0.016266681312089522,-0.23993534373892983,-0.00903967712971425,-0.4641093525182073,0.00538058089196696,0.00538058089196696,50.77645339330374,1,0,0
0.0168,2.02,3.636013705961076,1.4255655419622582,-0.014480073129302636,-0.2184107047403878,-0.007423018560313369,-0.5038007530179663,0.005673805031238866,0.005673805031238866,53.170050116802074,1,0,0
0.0168,2.68,3.608542963026987,1.3624812144236775,-0.013914966082123706,-0.2062869066624336,-0.006390806440445637,-0.514430387747418,0.00583994170544118,0.00583994170544118,52.623197168931654,1,0,0
0.0168,3.56,3.5852467811485282,1.2989649290653908,-0.012937633689452548,-0.09862289803338792,-0.005144972324979818,-0.5053048610515086,0.006030037112793049,0.006030037112793049,43.965928279110976,1,0,0
0.0168,4.71,3.5843915848649224,1.2387390710701838,-0.012433561900570263,0.02279516840105101,-0.0040467522168231304,-0.468254286244116,0.005914315051483373,0.005914315051483373,37.16297131010769,1,0,0
0.0168,6.25,3.590818604602367,1.1845095248080941,-0.012277912647021232,0.13953218744276885,-0.003151620371641765,-0.4079395747377236,0.005448398948337127,0.005448398948337127,34.11734598018401,1,0,0
0.0168,8.29,3.618651428431656,1.1385761891478547,-0.012621871865543643,0.30762088891867656,-0.0024722643688121783,-0.33769515782336834,0.005022865174437066,0.005022865174437066,41.552613451361005,1,0,0
0.0168,11.0,3.6663434297161515,1.1016010857029586,-0.012973113381262459,0.4070987219283493,-0.0019361944815308731,-0.26713055181198736,0.004253737235092059,0.004253737235092059,55.75893632526343,1,0,0
0.0168,14.6,3.718715612486613,1.0729159468935903,-0.01473725440015965,0.4800668913367941,-0.001679082533332213,-0.2048138932258079,0.003824466381230571,0.003824466381230571,71.27250446406123,1,0,0
0.0168,19.3,3.783558781662022,1.0515927785043175,-0.016916607243936115,0.48135464858039173,-0.0015156989100212463,-0.15119327834309307,0.0032872660238401773,0.0032872660238401773,77.51358220433866,1,0,0
0.0168,25.6,3.836111806386468,1.0360418552585198,-0.018582827372961262,0.3877889994915786,-0.0013974010846720718,-0.10825825798552201,0.00255364128835589,0.00255364128835589,63.59831384115734,1,0,0
0.0168,33.9,3.8784284090013,1.0251082196206174,-0.02060800854010815,0.20570934251059508,-0.0013592276213035823,-0.07548928442445929,0.0018352896384065103,0.0018352896384065103,26.3565319409694,1,0,0
0.0168,45.0,3.8865049482640384,1.0175490528713744,-0.02333321125737571,-0.11539287153373214,-0.0014013361291276508,-0.05124497788493204,0.001034005694944661,0.001034005694944661,15.882758412081865,1,0,0
0.0168,59.6,3.8501517826060603,1.0125508139938673,-0.0254497568199564,-0.4677779962824988,-0.0014783678647984767,-0.033482242223851946,0.0001605669648200406,0.0001605669648200406,1373.8011016991572,1,0,0
0.0168,79.1,3.771916193345919,1.009347109901015,-0.027009954840098993,-0.6364227353438497,-0.0015865087576053271,-0.02606115888289367,-0.0003057795186545523,0.0003057795186545523,1329.2090604286766,1,0,0
