gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.0146,15.3,0.0394596837701339,0.0438585136728642,0.899704081731071
0.0146,18.4,0.04176142198641183,0.04601988052350729,0.90746480676063
0.0146,22.2,0.04411436910630313,0.0482051685025477,0.9151377430403885
0.0146,26.8,0.04661778329802917,0.05054885863730406,0.9222321641823614
0.0146,32.4,0.04927443046573975,0.0530600558671051,0.9286539499534854
0.0146,39.1,0.05181413441663534,0.05540079865275616,0.9352597016046377
0.0146,47.1,0.05455622139315192,0.05799083187952651,0.9407732157815937
0.0146,56.9,0.05701862750905235,0.06023090962880104,0.9466672155618143
0.0146,68.7,0.05973920330308141,0.06280807564035221,0.9511388892911863
0.0146,82.90000000000001,0.06221860089582062,0.06510815055975459,0.9556192329364045
0.0146,100,0.06426290775147354,0.06691042014872128,0.96043198665674
0.0176,0.01,0.02045325647522663,0.0341632342434119,0.5986920421379858
0.0176,0.0121,0.02045988898888635,0.03415826198967342,0.5989733609711085
0.0176,0.0146,0.02046908027120545,0.03415331877319752,0.5993291722873197
0.0176,0.0176,0.02048336778209216,0.03414967071313111,0.5998115751732849
0.0176,0.0212,0.02049356164734171,0.03413994288318094,0.6002810759662363
0.0176,0.0256,0.02050974109268822,0.03413146509210194,0.600904210743482
0.0176,0.0309,0.02052881594733929,0.03412091125064093,0.6016491117878241
0.0176,0.0373,0.02055168738619586,0.03410821125811928,0.6025436875205128
0.0176,0.045,0.02057879384714937,0.03409270387160131,0.6036128411713094
0.0176,0.0543,0.02061092480869925,0.03407385052025307,0.6048898053493653
0.0176,0.0655,0.0206494387596544,0.03405135590166791,0.6064204555990367
0.0176,0.0791,0.02069548309354799,0.034024550756196,0.6082514723513068
0.0176,0.0954,0.0207505725974855,0.03399278533388669,0.6104404918181182
0.0176,0.115,0.02081633347471434,0.03395526817302082,0.6130516586894157
0.0176,0.139,0.0208947108152875,0.03391118836645149,0.6161597933252833
0.0176,0.168,0.02098787049928505,0.03385967460688064,0.619848558586564
0.0176,0.202,0.0210983131478102,0.03379991810926843,0.6242119605024942
0.0176,0.244,0.02122884053389208,0.03373122771773021,0.6293527384042864
0.0176,0.295,0.02138254228934519,0.03365315066327623,0.6353801016520794
0.0176,0.356,0.02156281185306584,0.03356568233963792,0.6424064803712386
0.0176,0.429,0.02177330035138549,0.03346950697603786,0.6505414127245391
0.0176,0.518,0.02201787408020021,0.03336632806226218,0.6598830425426034
0.0176,0.625,0.02230057619044626,0.03325928501826547,0.6705067826382659
0.0176,0.754,0.02262559203493242,0.03315342933739233,0.6824510310736992
0.0176,0.91,0.02299723333417476,0.03305621438287625,0.6957007559246641
0.0176,1.1,0.02343137619019019,0.03300145074656228,0.7100104892398105
0.0176,1.33,0.02391022590232147,0.03295481145164086,0.7255458262113939
0.0176,1.6,0.02443837263797197,0.03293479812110627,0.7420228461127453
0.0176,1.93,0.0250583994466969,0.03302876274016579,0.7586841700317085
0.0176,2.33,0.02572833748266048,0.03316741961781172,0.7757111580921336
0.0176,2.81,0.02650967211510193,0.03346431483008834,0.7921773462179669
0.0176,3.39,0.02735908766645776,0.03384975169531176,0.8082507639264909
0.0176,4.09,0.02833245058408652,0.03441411483453806,0.8232799454615647
0.0176,4.94,0.02944869839143997,0.03517914165610687,0.8371067912718065
0.0176,5.96,0.0306712191631257,0.03608216484035549,0.8500382196808212
0.0176,7.2,0.03206735530887679,0.03721213671423558,0.8617445312300317
0.0176,8.69,0.03365640744836802,0.0385827707087478,0.8723170168993895
0.0176,10.5,0.03540088499022431,0.04013147007398972,0.8821228059913154
0.0176,12.6,0.03729226701498418,0.04183987257637769,0.8913092874962284
0.0176,15.3,0.03938282344974171,0.04377125376760445,0.8997417268154502
0.0176,18.4,0.041674049031877,0.04592260297765396,0.9074844701672438
0.0176,22.2,0.04401556044846177,0.04809714736417059,0.9151386903509094
0.0176,26.8,0.04650596441163196,0.05042866537367716,0.9222128737102614
0.0176,32.4,0.0491483217737609,0.05292655038819016,0.9286137375907212
0.0176,39.1,0.05167326109955802,0.05525387890190557,0.935196987550786
0.0176,47.1,0.05439880120486539,0.05782879723937299,0.9406870590735324
0.0176,56.9,0.05684531094618138,0.06005483005509485,0.946556853029656
0.0176,68.7,0.05954788583530401,0.06261581014363497,0.9510039988096708
0.0176,82.90000000000001,0.06200997563407056,0.06490061914171234,0.9554604633072917
0.0176,100,0.06403920741775924,0.06669021622070931,0.9602489097624661
0.0212,0.01,0.02044068513407403,0.03409527000339871,0.599516740358309
0.0212,0.0121,0.02045037611675307,0.03409285302581128,0.5998434950947149
0.0212,0.0146,0.02045702733972784,0.03408586149050593,0.6001616636688445
0.0212,0.0176,0.02046783478663449,0.03407977571737637,0.600585959144047
0.0212,0.0212,0.02047972603706439,0.03407150217967145,0.6010808073288736
0.0212,0.0256,0.02049981362002171,0.03406602670738244,0.6017670859037753
0.0212,0.0309,0.02051670830003488,0.03405390328907734,0.6024774348441736
0.0212,0.0373,0.02053940160815348,0.03404123998512811,0.603368197431313
